Departing Airport Code,Departing Airport,Arriving Airport Code,Arriving Airport,Length
JFK,"New York, NY",PDX,"Portland, OR",2440
JFK,"New York, NY",AZA,"Phoenix, AZ",1460
JFK,"New York, NY",LAX,"Los Angeles, CA",2400
JFK,"New York, NY",SFO,"San Francisco, CA",2580
JFK,"New York, NY",SAN,"San Diego, CA",1700
JFK,"New York, NY",DEN,"Denver, CO",1080
JFK,"New York, NY",FLL,"Fort Lauderdale, FL",1020
JFK,"New York, NY",MIA,"Miami, FL",1020
JFK,"New York, NY",MCO,"Orlando, FL",950
JFK,"New York, NY",TPA,"Tampa, FL",1000
JFK,"New York, NY",RSW,"Fort Myers, FL",1010
JFK,"New York, NY",PBI,"West Palm Beach, FL",1030
JFK,"New York, NY",ATL,"Atlanta, GA",760
JFK,"New York, NY",ORD,"Chicago, IL",720
JFK,"New York, NY",MCI,"Kansas City, MO",1110
JFK,"New York, NY",MSY,"New Orleans, LA",1180
JFK,"New York, NY",IAD,Washington D.C.,230
JFK,"New York, NY",BOS,"Boston, MA",260
JFK,"New York, NY",DTW,"Detroit, MI",510
JFK,"New York, NY",MSP,"Minneapolis, MN",1030
JFK,"New York, NY",STL,"St. Louis, MO",890
JFK,"New York, NY",LAS,"Las Vegas, NV",2240
JFK,"New York, NY",RDU,"Raleigh-Durham, NC",540
JFK,"New York, NY",CLE,"Cleveland, OH",430
JFK,"New York, NY",PIT,"Pittsburgh, PA",250
JFK,"New York, NY",ORF,"Norfolk, VA",290
JFK,"New York, NY",PHL,"Philadelphia, PA",520
JFK,"New York, NY",CMH,"Columbus, OH",480
JFK,"New York, NY",DFW,"Dallas, TX",1060
JFK,"New York, NY",IAH,"Houston, TX",680
JFK,"New York, NY",AUS,"Austin, TX",1520
JFK,"New York, NY",BNA,"Nashville, TN",770
JFK,"New York, NY",IND,"Indianapolis, IN",660
JFK,"New York, NY",CHS,"Charleston, SC",640
JFK,"New York, NY",RIC,"Richmond, VA",290
JFK,"New York, NY",CMH,"Columbus, OH",480
JFK,"New York, NY",ANC,"Anchorage, AK",3380
JFK,"New York, NY",SAV,"Savannah, GA",720
JFK,"New York, NY",SYR,"Syracuse, NY",210
JFK,"New York, NY",MVY,"Martha's Vineyard, MA",170
JFK,"New York, NY",JAX,"Jacksonville, FL",830
JFK,"New York, NY",ROC,"Rochester, NY",260
JFK,"New York, NY",SEA,"Seattle, WA",1480
ATL,"Atlanta, GA",ALB,"Albany, NY",850
ATL,"Atlanta, GA",AVL,"Asheville, NC",170
ATL,"Atlanta, GA",BWI,"Baltimore, MD",580
ATL,"Atlanta, GA",BOS,"Boston, MA",950
ATL,"Atlanta, GA",BUF,"Buffalo, NY",710
ATL,"Atlanta, GA",CLT,"Charlotte, NC",230
ATL,"Atlanta, GA",ORD,"Chicago, IL",610
ATL,"Atlanta, GA",CVG,"Cincinnati, OH",380
ATL,"Atlanta, GA",CLE,"Cleveland, OH",560
ATL,"Atlanta, GA",DFW,"Dallas, TX",730
ATL,"Atlanta, GA",DEN,"Denver, CO",1200
ATL,"Atlanta, GA",DTW,"Detroit, MI",600
ATL,"Atlanta, GA",FLL,"Fort Lauderdale, FL",580
ATL,"Atlanta, GA",IAH,"Houston, TX",690
ATL,"Atlanta, GA",MCI,"Kansas City, MO",700
ATL,"Atlanta, GA",LAS,"Las Vegas, NV",1740
ATL,"Atlanta, GA",MIA,"Miami, FL",560
ATL,"Atlanta, GA",MSP,"Minneapolis, MN",910
ATL,"Atlanta, GA",MSY,"New Orleans, LA",430
ATL,"Atlanta, GA",SFO,"San Francisco, CA",2140
ATL,"Atlanta, GA",MCO,"Orlando, FL",410
ATL,"Atlanta, GA",PHL,"Philadelphia, PA",670
ATL,"Atlanta, GA",PHX,"Phoenix, AZ",1580
ATL,"Atlanta, GA",PIT,"Pittsburgh, PA",530
ATL,"Atlanta, GA",RDU,"Raleigh-Durham, NC",360
ATL,"Atlanta, GA",RIC,"Richmond, VA",360
ATL,"Atlanta, GA",TPA,"Tampa, FL",410
ATL,"Atlanta, GA",IAD,Washington D.C.,530
ATL,"Atlanta, GA",SLC,"Salt Lake City, UT",1590
ATL,"Atlanta, GA",CRW,"Charleston, WV",370
ATL,"Atlanta, GA",LAX,"Los Angeles, CA",1950
ATL,"Atlanta, GA",GPT,"Gulfport, MS",350
ATL,"Atlanta, GA",STL,"St. Louis, MO",490
ATL,"Atlanta, GA",SHV,"Shreveport, LA",550
ATL,"Atlanta, GA",ROC,"Rochester, NY",750
ATL,"Atlanta, GA",JAX,"Jacksonville, FL",270
ATL,"Atlanta, GA",SBA,"Santa Barbara, CA",2020
ATL,"Atlanta, GA",ABE,"Allentown, PA",690
ORD,"Chicago, IL",ANC,"Anchorage, AK",2840
ORD,"Chicago, IL",CLE,"Cleveland, OH",320
ORD,"Chicago, IL",IAD,Washington D.C.,590
ORD,"Chicago, IL",DFW,"Dallas, TX",800
ORD,"Chicago, IL",MSP,"Minneapolis, MN",330
ORD,"Chicago, IL",FLL,"Fort Lauderdale, FL",1180
ORD,"Chicago, IL",ROC,"Rochester, NY",530
ORD,"Chicago, IL",MKE,"Milwaukee, WI",70
ORD,"Chicago, IL",PIT,"Pittsburgh, PA",410
ORD,"Chicago, IL",RDU,"Raleigh-Durham, NC",650
ORD,"Chicago, IL",SDF,"Louisville, KY",290
ORD,"Chicago, IL",SMF,"Sacramento, CA",1780
ORD,"Chicago, IL",STL,"St. Louis, MO",260
ORD,"Chicago, IL",PDX,"Portland, OR",1740
ORD,"Chicago, IL",SEA,"Seattle, WA",1720
ORD,"Chicago, IL",SFO,"San Francisco, CA",1850
ORD,"Chicago, IL",LAX,"Los Angeles, CA",1750
ORD,"Chicago, IL",BOI,"Boise, ID",1430
ORD,"Chicago, IL",AUS,"Austin, TX",980
ORD,"Chicago, IL",BWI,"Baltimore, MD",620
ORD,"Chicago, IL",BOS,"Boston, MA",870
ORD,"Chicago, IL",DEN,"Denver, CO",890
ORD,"Chicago, IL",DSM,"Des Moines, IA",300
ORD,"Chicago, IL",DTW,"Detroit, MI",230
ORD,"Chicago, IL",RSW,"Fort Myers, FL",1120
ORD,"Chicago, IL",IAH,"Houston, TX",930
ORD,"Chicago, IL",MCI,"Kansas City, MO",400
ORD,"Chicago, IL",OMA,"Omaha, NE",420
ORD,"Chicago, IL",BNA,"Nashville, TN",410
ORD,"Chicago, IL",MIA,"Miami, FL",1200
ORD,"Chicago, IL",PHL,"Philadelphia, PA",680
ORD,"Chicago, IL",RNO,"Reno, NV",1670
ORD,"Chicago, IL",SLC,"Salt Lake City, UT",1250
ORD,"Chicago, IL",SAT,"San Antonio, TX",1040
ORD,"Chicago, IL",SAN,"San Diego, CA",1720
ORD,"Chicago, IL",SJU,"San Juan, PR",2070
ORD,"Chicago, IL",TUS,"Tucson, AZ",1440
ORD,"Chicago, IL",PBI,"Palm Beach, FL",1150
ORD,"Chicago, IL",ABQ,"Albuquerque, NM",1120
ORD,"Chicago, IL",FSD,"Sioux Falls, SD",460
ORD,"Chicago, IL",ATW,"Appleton, WI",160
ORD,"Chicago, IL",BDL,"Hartford, CT",780
ORD,"Chicago, IL",JAX,"Jacksonville, FL",870
ORD,"Chicago, IL",ABE,"Allentown, PA",650
ORD,"Chicago, IL",FAR,"Fargo, ND",560
DFW,"Dallas, TX",PDX,"Portland, OR",1610
DFW,"Dallas, TX",SEA,"Seattle, WA",1660
DFW,"Dallas, TX",ALB,"Albany, NY",1430
DFW,"Dallas, TX",ABQ,"Albuquerque, NM",570
DFW,"Dallas, TX",AMA,"Amarillo, TX",310
DFW,"Dallas, TX",AVL,"Asheville, NC",850
DFW,"Dallas, TX",AUS,"Austin, TX",780
DFW,"Dallas, TX",BFL,"Bakersfield, CA",1270
DFW,"Dallas, TX",BWI,"Baltimore, MD",1220
DFW,"Dallas, TX",BHM,"Birmingham, AL",1220
DFW,"Dallas, TX",BOI,"Boise, ID",1270
DFW,"Dallas, TX",BOS,"Boston, MA",1560
DFW,"Dallas, TX",CID,"Cedar Rapids, IA",690
DFW,"Dallas, TX",CHS,"Charleston, SC",990
DFW,"Dallas, TX",CLT,"Charlotte, NC",940
DFW,"Dallas, TX",CVG,"Cincinnati, OH",810
DFW,"Dallas, TX",CLE,"Cleveland, OH",1020
DFW,"Dallas, TX",DAY,"Dayton, OH",860
DFW,"Dallas, TX",DEN,"Denver, CO",640
DFW,"Dallas, TX",DSM,"Des Moines, IA",630
DFW,"Dallas, TX",VPS,"Destin, FL",640
DFW,"Dallas, TX",DTW,"Detroit, MI",990
DFW,"Dallas, TX",EGE,"Vail, CO",720
DFW,"Dallas, TX",ELP,"El Paso, TX",550
DFW,"Dallas, TX",EUG,"Eugene, OR",1600
DFW,"Dallas, TX",XNA,"Fayetteville, AR",280
DFW,"Dallas, TX",FAR,"Fargo, ND",970
DFW,"Dallas, TX",FLL,"Fort Lauderdale, FL",1120
DFW,"Dallas, TX",RSW,"Fort Myers, FL",1020
DFW,"Dallas, TX",FAT,"Fresno, CA",1310
DFW,"Dallas, TX",GSO,"Greensboro, NC",1000
DFW,"Dallas, TX",MDT,"Harrisburg, PA",1230
DFW,"Dallas, TX",BDL,"Hartford, CT",1470
DFW,"Dallas, TX",HNL,"Honolulu, HI",3780
