Airport Code,Lat,Lon
PDX,45.59,122.6
AZA,33.31,111.66
LAX,33.94,118.41
SFO,37.62,122.38
SAN,32.73,117.19
DEN,39.86,104.67
FLL,26.07,80.15
MIA,25.8,80.29
MCO,28.43,81.31
TPA,27.98,82.53
RSW,26.54,81.76
PBI,26.68,80.09
ATL,33.64,84.43
ORD,41.97,87.91
MCI,39.3,94.71
MSY,29.99,90.26
IAD,38.95,77.46
BOS,42.37,71.01
DTW,42.22,83.36
MSP,44.88,93.23
STL,38.75,90.36
LAS,36.09,115.15
RDU,35.88,78.79
CLE,41.41,81.85
PIT,40.49,80.23
ORF,36.89,76.2
PHL,39.87,75.24
CMH,40,82.89
DFW,32.9,97.04
IAH,29.99,95.34
SEA,47.45,122.31
ALB,42.75,73.8
AVL,35.44,82.54
BWI,39.18,76.67
BUF,42.94,78.73
CLT,35.21,80.94
CVG,39.05,84.67
PHX,33.44,112.01
RIC,37.51,77.32
SLC,40.79,111.98
CRW,38.37,81.59
GPT,30.41,89.07
SHV,32.45,93.83
ANC,61.17,150
ROC,43.12,77.67
MKE,42.95,87.9
SDF,38.17,85.74
SMF,38.7,121.59
BOI,43.56,116.22
AUS,30.19,97.67
DSM,41.53,93.66
OMA,41.3,95.89
BNA,36.13,86.68
RNO,39.5,119.77
SAT,29.53,98.47
SJU,18.44,66
TUS,32.12,110.94
ABQ,35.04,106.61
FSD,43.58,96.74
ATW,44.26,88.52
AMA,35.22,101.71
BFL,35.43,119.06
BHM,33.56,86.75
CID,41.88,91.71
CHS,32.9,80.04
DAY,39.9,84.22
VPS,30.48,86.53
EGE,39.64,106.92
ELP,31.81,106.38
EUG,44.12,123.21
XNA,36.28,94.31
FAT,36.78,119.72
GSO,36.1,79.94
MDT,40.19,76.76
BDL,41.94,72.68
HNL,21.32,157.93
IND,39.72,86.3
OGG,20.9,156.43
TYS,35.81,83.99
LIT,34.73,92.22
MSN,43.14,89.34
MEM,35.04,89.98
OKC,35.39,97.6
PSP,33.83,116.51
SJC,37.36,121.93
SBP,35.24,120.64
SAV,32.13,81.2
SYR,43.11,76.11
TUL,36.2,95.89
ICT,37.65,97.43
JFK,40.64,73.78
MVY,41.38,70.65
JAX,30.33,81.66
ABE,40.6514,75.4342
FAR,46.9207,96.8156
GRR,42.8802,85.5228
HDN,40.4812,107.2177
BZN,45.7772,111.1533
SBA,34.4262,119.8403
SAF,35.6168,106.0899
SHR,44.7692,106.9769
